model,variant,fraction,seed,perturbation,severity,auc,accuracy
matched_cnn,,1.0,2,stain,0.05,0.93588653125,0.8705
matched_cnn,,1.0,2,stain,0.1,0.86770796875,0.80825
matched_cnn,,1.0,2,stain,0.2,0.748972,0.700125
simple_cnn,,1.0,0,rotation,0.0,0.9546002812500001,0.884
simple_cnn,,1.0,0,rotation,15.0,0.9447298125,0.869375
simple_cnn,,1.0,0,rotation,30.0,0.9443174375,0.8675
simple_cnn,,1.0,0,rotation,45.0,0.9434784375,0.866625
simple_cnn,,1.0,0,zoom,1.0,0.9546002812500001,0.884
simple_cnn,,1.0,0,zoom,1.15,0.9321174062500001,0.852875
simple_cnn,,1.0,0,zoom,1.3,0.91427284375,0.8255
simple_cnn,,1.0,0,zoom,1.5,0.88095753125,0.7845
simple_cnn,,1.0,0,blur,0.0,0.9546002812500001,0.884
simple_cnn,,1.0,0,blur,0.75,0.90990346875,0.801125
simple_cnn,,1.0,0,blur,1.5,0.7649029374999999,0.677875
simple_cnn,,1.0,0,blur,2.5,0.68142253125,0.61425
simple_cnn,,1.0,0,stain,0.0,0.9546002812500001,0.884
simple_cnn,,1.0,0,stain,0.05,0.95064834375,0.880125
simple_cnn,,1.0,0,stain,0.1,0.938475375,0.860125
simple_cnn,,1.0,0,stain,0.2,0.8840000312499999,0.793125
simple_cnn,,1.0,1,rotation,0.0,0.9534780624999999,0.885875
simple_cnn,,1.0,1,rotation,15.0,0.937011125,0.862375
simple_cnn,,1.0,1,rotation,30.0,0.9361251562499999,0.86375
simple_cnn,,1.0,1,rotation,45.0,0.93445834375,0.861625
simple_cnn,,1.0,1,zoom,1.0,0.9534780624999999,0.885875
simple_cnn,,1.0,1,zoom,1.15,0.92242221875,0.844875
simple_cnn,,1.0,1,zoom,1.3,0.90220159375,0.822125
simple_cnn,,1.0,1,zoom,1.5,0.8702198125,0.785625
simple_cnn,,1.0,1,blur,0.0,0.9534780624999999,0.885875
simple_cnn,,1.0,1,blur,0.75,0.8978700312500001,0.79925
simple_cnn,,1.0,1,blur,1.5,0.81352115625,0.718875
simple_cnn,,1.0,1,blur,2.5,0.73118490625,0.658
simple_cnn,,1.0,1,stain,0.0,0.9534780624999999,0.885875
simple_cnn,,1.0,1,stain,0.05,0.94656740625,0.877
simple_cnn,,1.0,1,stain,0.1,0.92440465625,0.84625
simple_cnn,,1.0,1,stain,0.2,0.84650790625,0.765625
simple_cnn,,1.0,2,rotation,0.0,0.9536688437499999,0.885125
simple_cnn,,1.0,2,rotation,15.0,0.9362054375,0.86225
simple_cnn,,1.0,2,rotation,30.0,0.9370667500000001,0.8645
simple_cnn,,1.0,2,rotation,45.0,0.93575825,0.85925
simple_cnn,,1.0,2,zoom,1.0,0.9536688437499999,0.885125
simple_cnn,,1.0,2,zoom,1.15,0.92423121875,0.8485
simple_cnn,,1.0,2,zoom,1.3,0.90835025,0.8255
simple_cnn,,1.0,2,zoom,1.5,0.8803417499999999,0.790625
simple_cnn,,1.0,2,blur,0.0,0.9536688437499999,0.885125
simple_cnn,,1.0,2,blur,0.75,0.90035259375,0.805375
simple_cnn,,1.0,2,blur,1.5,0.793066375,0.683375
simple_cnn,,1.0,2,blur,2.5,0.714734,0.620625
simple_cnn,,1.0,2,stain,0.0,0.9536688437499999,0.885125
simple_cnn,,1.0,2,stain,0.05,0.94788740625,0.874875
simple_cnn,,1.0,2,stain,0.1,0.9308260312500001,0.85425
simple_cnn,,1.0,2,stain,0.2,0.859458,0.778
